shipment_id,supplier,origin,destination,transport_mode,distance_km,shipping_cost,weather_condition,traffic_level,order_priority,expected_delivery_days,actual_delivery_days,delayed
SHP-001288,Supplier_H,Houston,Seattle,Road,531,2215.0,Snow,Low,Critical,13,13,0
SHP-001289,Supplier_O,Dallas,Seattle,Air,804,1381.09,Storm,Moderate,Critical,14,13,0
SHP-001290,Supplier_R,New York,Seattle,Rail,2732,9535.41,Fog,Moderate,Low,5,7,1
SHP-001291,Supplier_E,Los Angeles,Denver,Air,4594,773.02,Clear,Moderate,High,5,4,0
SHP-001292,Supplier_M,Los Angeles,Atlanta,Rail,1063,2030.98,Snow,Low,High,12,15,1
SHP-001293,Supplier_G,Dallas,Atlanta,Sea,2334,3510.83,Clear,Moderate,High,3,3,0
SHP-001294,Supplier_T,Phoenix,Nashville,Sea,2141,6221.34,Rain,Low,Critical,6,5,0
SHP-001295,Supplier_Q,Dallas,Miami,Air,1928,5470.77,Clear,Moderate,Critical,1,1,0
SHP-001296,Supplier_X,San Jose,Denver,Air,2208,1300.15,Fog,Low,High,3,2,0
SHP-001297,Supplier_E,Philadelphia,Detroit,Air,4168,2932.79,Snow,Moderate,Critical,11,10,0
SHP-001298,Supplier_C,Philadelphia,Nashville,Sea,1038,2425.58,Fog,Low,High,2,1,0
SHP-001299,Supplier_I,Phoenix,Boston,Rail,4905,2174.75,Storm,Severe,Critical,7,12,1
SHP-001300,Supplier_Y,Houston,Seattle,Air,906,4140.89,Fog,Moderate,Critical,9,9,0
SHP-001301,Supplier_Z,San Jose,Boston,Sea,1563,7055.11,Storm,Low,High,4,11,1
SHP-001302,Supplier_N,Houston,Portland,Road,3515,2213.66,Clear,Moderate,High,7,5,0
SHP-001303,Supplier_K,San Diego,Atlanta,Sea,110,3698.45,Clear,High,Medium,8,9,1
SHP-001304,Supplier_Z,San Antonio,Denver,Road,1968,3939.63,Clear,Low,High,10,9,0
SHP-001305,Supplier_Q,San Jose,Las Vegas,Rail,4967,9765.74,Clear,Moderate,Medium,2,1,0
SHP-001306,Supplier_I,New York,Portland,Road,984,9548.93,Rain,Moderate,Critical,7,11,1
SHP-001307,Supplier_A,Phoenix,Atlanta,Road,3664,8011.37,Rain,Low,High,13,11,0
SHP-001308,Supplier_J,Chicago,Detroit,Road,1489,2454.51,Rain,High,Critical,12,11,0
SHP-001309,Supplier_X,San Antonio,Seattle,Road,3501,726.97,Fog,Low,High,3,2,0
SHP-001310,Supplier_J,Dallas,Orlando,Air,4421,3203.2,Fog,Low,Critical,8,8,0
SHP-001311,Supplier_S,Los Angeles,Orlando,Air,924,2704.61,Clear,High,Critical,6,6,0
SHP-001312,Supplier_S,Dallas,Atlanta,Rail,2365,5083.96,Clear,Moderate,Critical,3,3,0
SHP-001313,Supplier_V,Los Angeles,Detroit,Sea,1036,7788.39,Clear,High,Low,8,7,0
SHP-001314,Supplier_P,Dallas,Nashville,Air,2900,8590.31,Clear,Moderate,Critical,11,11,0
SHP-001315,Supplier_E,Phoenix,Nashville,Rail,2653,8456.4,Snow,High,Medium,13,15,1
SHP-001316,Supplier_O,Philadelphia,Las Vegas,Sea,3945,3628.77,Rain,High,High,3,1,0
SHP-001317,Supplier_R,Los Angeles,Nashville,Sea,1896,6887.98,Rain,Low,Medium,9,13,1
SHP-001318,Supplier_P,Dallas,Seattle,Air,153,3162.7,Storm,High,Low,11,13,1
SHP-001319,Supplier_L,Phoenix,Seattle,Rail,826,656.01,Storm,Moderate,Medium,3,6,1
SHP-001320,Supplier_K,Dallas,Boston,Rail,2836,7030.57,Clear,Low,High,1,1,0
SHP-001321,Supplier_R,San Jose,Atlanta,Air,3270,147.78,Snow,Moderate,High,13,14,1
SHP-001322,Supplier_Y,Phoenix,Boston,Air,2013,4121.37,Clear,Low,High,2,1,0
SHP-001323,Supplier_R,San Diego,Atlanta,Sea,1696,3327.32,Clear,High,Low,4,4,0
SHP-001324,Supplier_M,San Antonio,Atlanta,Air,2014,6949.11,Clear,Moderate,Low,13,13,0
SHP-001325,Supplier_O,San Jose,Atlanta,Rail,2566,7674.14,Clear,Severe,High,11,15,1
SHP-001326,Supplier_K,San Diego,Detroit,Sea,2837,3075.74,Clear,Low,High,2,2,0
SHP-001327,Supplier_G,Houston,Orlando,Air,949,8125.69,Clear,Moderate,Low,4,3,0
SHP-001328,Supplier_W,Philadelphia,Seattle,Air,2209,2974.47,Rain,Low,High,4,2,0
SHP-001329,Supplier_H,San Diego,Atlanta,Sea,102,4490.95,Snow,Moderate,Medium,4,4,0
SHP-001330,Supplier_S,San Diego,Orlando,Rail,4355,7283.83,Clear,High,Critical,1,8,1
SHP-001331,Supplier_M,San Jose,Detroit,Road,4169,6944.56,Clear,High,Medium,9,15,1
SHP-001332,Supplier_H,New York,Denver,Rail,4976,9874.32,Storm,High,High,10,14,1
SHP-001333,Supplier_Y,San Diego,Detroit,Sea,992,2290.35,Clear,High,High,11,13,1
SHP-001334,Supplier_N,Los Angeles,Nashville,Rail,2130,6640.06,Fog,Low,Critical,7,5,0
SHP-001335,Supplier_B,Phoenix,Orlando,Air,3260,6116.33,Rain,Low,Critical,2,1,0
SHP-001336,Supplier_K,Los Angeles,Miami,Sea,2476,9155.23,Clear,Moderate,High,3,1,0
SHP-001337,Supplier_X,San Antonio,Boston,Sea,4775,1605.8,Clear,Moderate,Critical,13,13,0
SHP-001338,Supplier_P,Houston,Miami,Road,2033,7530.39,Clear,Low,Medium,8,8,0
SHP-001339,Supplier_W,Houston,Orlando,Air,1480,5704.27,Clear,Moderate,Low,7,5,0
SHP-001340,Supplier_Z,Philadelphia,Las Vegas,Air,3781,2782.93,Clear,Moderate,Medium,4,2,0
SHP-001341,Supplier_M,San Antonio,Seattle,Sea,1390,4770.63,Rain,Low,Low,4,9,1
SHP-001342,Supplier_M,Philadelphia,Nashville,Road,1740,3371.08,Clear,High,Critical,9,8,0
SHP-001343,Supplier_V,Dallas,Nashville,Road,2782,5814.17,Rain,Moderate,High,5,3,0
SHP-001344,Supplier_Z,Dallas,Detroit,Sea,1087,8895.56,Rain,Low,Medium,14,13,0
SHP-001345,Supplier_U,New York,Detroit,Road,1318,5714.58,Clear,Low,Medium,13,11,0
SHP-001346,Supplier_E,Phoenix,Denver,Rail,1455,6335.64,Clear,High,High,11,10,0
SHP-001347,Supplier_P,Houston,Las Vegas,Sea,4365,5211.54,Clear,Severe,Low,5,11,1
SHP-001348,Supplier_B,Phoenix,Orlando,Air,4716,559.1,Clear,Moderate,High,7,7,0
SHP-001349,Supplier_E,Los Angeles,Orlando,Rail,4235,2366.94,Snow,Low,Medium,1,1,0
SHP-001350,Supplier_Q,San Antonio,Seattle,Rail,1660,4945.42,Clear,Severe,Critical,3,4,1
SHP-001351,Supplier_S,Philadelphia,Atlanta,Sea,1518,3136.84,Snow,Moderate,Low,2,4,1
SHP-001352,Supplier_K,Los Angeles,Nashville,Road,1054,1858.55,Clear,High,High,11,11,0
SHP-001353,Supplier_D,Dallas,Miami,Air,1083,5066.12,Clear,High,Low,10,17,1
SHP-001354,Supplier_O,Chicago,Las Vegas,Sea,1074,3261.96,Rain,Low,High,6,12,1
SHP-001355,Supplier_D,San Diego,Portland,Sea,4233,2618.17,Snow,Moderate,Medium,11,10,0
SHP-001356,Supplier_Q,Philadelphia,Detroit,Sea,4072,4666.65,Clear,Low,Medium,12,11,0
SHP-001357,Supplier_O,Philadelphia,Denver,Road,1013,1376.18,Clear,Low,Medium,6,5,0
SHP-001358,Supplier_A,Houston,Boston,Rail,4649,9281.07,Rain,High,Critical,10,8,0
SHP-001359,Supplier_X,San Jose,Seattle,Air,136,8683.64,Clear,High,Low,1,8,1
SHP-001360,Supplier_E,Phoenix,Portland,Rail,3487,7090.82,Clear,High,High,14,21,1
SHP-001361,Supplier_N,Chicago,Portland,Air,1811,1106.83,Rain,Moderate,High,14,12,0
SHP-001362,Supplier_U,Houston,Denver,Sea,3120,7769.98,Clear,Low,High,6,4,0
SHP-001363,Supplier_E,San Diego,Orlando,Road,895,8089.18,Rain,Low,Medium,10,16,1
SHP-001364,Supplier_C,Houston,Boston,Sea,4136,7689.26,Rain,Low,Low,2,1,0
SHP-001365,Supplier_P,Houston,Denver,Sea,4788,1183.96,Snow,Moderate,Critical,11,9,0
SHP-001366,Supplier_Z,Houston,Miami,Road,3211,6456.88,Snow,Moderate,Critical,4,2,0
SHP-001367,Supplier_I,Phoenix,Orlando,Air,1424,8351.53,Rain,Low,Medium,6,6,0
SHP-001368,Supplier_K,Houston,Detroit,Air,417,5794.67,Rain,Severe,Critical,3,1,0
SHP-001369,Supplier_T,Houston,Boston,Air,2496,6481.75,Storm,Low,Medium,3,1,0
SHP-001370,Supplier_W,Houston,Las Vegas,Rail,2262,4610.72,Clear,High,Low,12,11,0
SHP-001371,Supplier_M,Houston,Atlanta,Air,2845,5310.64,Clear,Moderate,Low,3,1,0
SHP-001372,Supplier_U,San Jose,Boston,Sea,1691,392.05,Snow,Low,Low,4,9,1
SHP-001373,Supplier_C,Philadelphia,Orlando,Road,3211,6407.68,Rain,High,Low,9,8,0
SHP-001374,Supplier_K,Chicago,Portland,Road,4030,860.4,Clear,High,Critical,4,10,1
SHP-001375,Supplier_V,Los Angeles,Seattle,Air,2096,4378.4,Storm,Moderate,High,13,13,0
SHP-001376,Supplier_R,Los Angeles,Portland,Sea,1412,2961.92,Clear,Moderate,Medium,4,4,0
SHP-001377,Supplier_M,Los Angeles,Boston,Air,1385,5477.01,Snow,Low,Medium,4,7,1
SHP-001378,Supplier_K,San Diego,Nashville,Sea,4411,1377.49,Snow,Moderate,Low,7,7,0
SHP-001379,Supplier_U,San Jose,Miami,Air,2483,6931.85,Fog,Severe,Low,5,5,0
SHP-001380,Supplier_W,New York,Detroit,Rail,3339,7960.36,Clear,Low,High,12,10,0
SHP-001381,Supplier_Y,Dallas,Denver,Air,2239,1675.38,Rain,Low,Critical,2,2,0
SHP-001382,Supplier_P,New York,Seattle,Air,1804,1087.92,Clear,Severe,Low,7,10,1
SHP-001383,Supplier_R,San Diego,Seattle,Rail,462,1497.88,Clear,Low,High,3,3,0
SHP-001384,Supplier_B,Philadelphia,Miami,Air,2704,8777.42,Clear,Moderate,High,11,9,0
SHP-001385,Supplier_T,San Jose,Denver,Sea,1816,5305.48,Rain,Moderate,Medium,1,1,0
SHP-001386,Supplier_C,Philadelphia,Portland,Air,4551,4699.25,Clear,Moderate,Medium,9,9,0
SHP-001387,Supplier_H,San Diego,Nashville,Air,4386,1111.78,Clear,Moderate,High,5,3,0
SHP-001388,Supplier_U,San Jose,Boston,Air,3838,6513.08,Rain,Low,High,10,8,0
SHP-001389,Supplier_V,Phoenix,Denver,Rail,2569,8686.6,Snow,Low,Medium,1,7,1
SHP-001390,Supplier_J,San Diego,Miami,Rail,4895,8290.45,Snow,High,Critical,11,14,1
SHP-001391,Supplier_H,Chicago,Las Vegas,Road,656,6279.24,Fog,High,Critical,1,2,1
SHP-001392,Supplier_X,Dallas,Nashville,Rail,925,799.02,Clear,Moderate,High,1,1,0
SHP-001393,Supplier_C,Phoenix,Detroit,Rail,2908,1168.35,Fog,Moderate,High,12,13,1
SHP-001394,Supplier_N,San Antonio,Nashville,Sea,4621,540.62,Storm,Low,Critical,9,13,1
SHP-001395,Supplier_D,Houston,Portland,Rail,2819,2611.92,Clear,Low,Low,13,12,0
SHP-001396,Supplier_Y,San Jose,Detroit,Road,3608,1399.83,Clear,High,Low,8,10,1
SHP-001397,Supplier_U,Chicago,Nashville,Road,3841,2637.48,Clear,Moderate,Critical,11,11,0
SHP-001398,Supplier_W,New York,Nashville,Rail,1674,3881.33,Clear,Low,Medium,13,11,0
SHP-001399,Supplier_D,Dallas,Atlanta,Rail,4098,9432.68,Rain,Low,Medium,13,18,1
SHP-001400,Supplier_O,San Antonio,Las Vegas,Sea,2229,6123.24,Rain,Low,Low,6,5,0
SHP-001401,Supplier_F,San Diego,Boston,Rail,2503,8357.99,Snow,Low,Critical,10,13,1
SHP-001402,Supplier_W,Dallas,Boston,Road,3429,7118.0,Rain,High,High,6,7,1
SHP-001403,Supplier_J,New York,Seattle,Sea,688,1169.41,Clear,Severe,Medium,6,11,1
SHP-001404,Supplier_A,Dallas,Las Vegas,Sea,2112,7372.41,Storm,High,Medium,4,5,1
SHP-001405,Supplier_B,Philadelphia,Nashville,Road,1647,2787.23,Clear,Severe,Critical,5,3,0
SHP-001406,Supplier_K,San Antonio,Atlanta,Sea,394,6409.12,Fog,Severe,Critical,10,9,0
SHP-001407,Supplier_Z,Chicago,Denver,Rail,2085,3442.57,Clear,Moderate,Critical,3,3,0
SHP-001408,Supplier_B,San Diego,Detroit,Road,3217,9976.84,Fog,Low,Medium,3,2,0
SHP-001409,Supplier_J,Los Angeles,Orlando,Sea,1790,2672.34,Clear,High,Critical,10,10,0
SHP-001410,Supplier_L,Dallas,Miami,Road,1236,2827.35,Clear,Low,Critical,7,5,0
SHP-001411,Supplier_L,San Diego,Boston,Air,2164,9310.19,Clear,Low,High,5,4,0
SHP-001412,Supplier_N,Philadelphia,Portland,Rail,4555,295.21,Snow,Low,Critical,8,6,0
SHP-001413,Supplier_E,New York,Denver,Road,4895,6982.06,Storm,Moderate,Medium,5,10,1
SHP-001414,Supplier_H,New York,Orlando,Sea,4643,7267.0,Clear,Low,Medium,12,10,0
SHP-001415,Supplier_Q,Houston,Denver,Air,4870,8371.97,Fog,Low,Critical,4,4,0
SHP-001416,Supplier_N,San Antonio,Portland,Rail,1107,9745.67,Rain,Moderate,Low,14,14,0
SHP-001417,Supplier_S,San Jose,Portland,Rail,2614,9757.24,Rain,High,Low,3,4,1
SHP-001418,Supplier_V,Los Angeles,Boston,Sea,3626,699.5,Storm,Moderate,High,12,16,1
SHP-001419,Supplier_Z,Philadelphia,Denver,Rail,4781,8227.3,Clear,High,Low,2,9,1
SHP-001420,Supplier_F,Philadelphia,Seattle,Sea,1347,6480.78,Clear,Low,Low,3,2,0
SHP-001421,Supplier_F,San Jose,Seattle,Road,4002,6491.05,Fog,Low,High,7,12,1
SHP-001422,Supplier_F,Phoenix,Seattle,Sea,1535,1327.08,Fog,Moderate,Medium,8,7,0
SHP-001423,Supplier_C,Chicago,Miami,Rail,671,6519.36,Fog,Moderate,Critical,5,3,0
SHP-001424,Supplier_T,Dallas,Detroit,Rail,2482,9825.7,Fog,Moderate,Low,11,9,0
SHP-001425,Supplier_M,Phoenix,Orlando,Rail,1345,9122.59,Clear,High,Low,1,3,1
SHP-001426,Supplier_T,Houston,Atlanta,Rail,2184,4419.35,Storm,High,High,3,4,1
SHP-001427,Supplier_V,Phoenix,Denver,Rail,377,447.48,Clear,Severe,High,4,4,0
SHP-001428,Supplier_H,San Diego,Nashville,Rail,1987,3654.82,Fog,Low,Low,10,10,0
SHP-001429,Supplier_P,San Jose,Nashville,Rail,4679,8272.58,Clear,Low,Low,13,11,0
SHP-001430,Supplier_S,Philadelphia,Denver,Rail,1365,7029.92,Rain,Moderate,Low,13,13,0
SHP-001431,Supplier_E,Philadelphia,Miami,Road,4926,4620.47,Rain,Low,Medium,12,18,1
SHP-001432,Supplier_H,Chicago,Atlanta,Road,1140,598.26,Clear,Low,Critical,4,2,0
SHP-001433,Supplier_O,San Diego,Detroit,Road,1017,4297.6,Clear,Low,Medium,12,11,0
SHP-001434,Supplier_U,San Antonio,Portland,Rail,985,4716.8,Storm,Low,Medium,1,3,1
SHP-001435,Supplier_I,Houston,Denver,Sea,2852,9289.13,Storm,Low,Low,10,10,0
SHP-001436,Supplier_O,San Antonio,Miami,Sea,121,6428.81,Clear,Low,High,9,9,0
SHP-001437,Supplier_I,Philadelphia,Atlanta,Sea,4669,3150.95,Snow,Moderate,Medium,12,10,0
SHP-001438,Supplier_V,Philadelphia,Las Vegas,Sea,3291,5276.92,Rain,Moderate,High,10,8,0
SHP-001439,Supplier_A,San Antonio,Detroit,Sea,2453,707.25,Clear,High,Critical,4,6,1
SHP-001440,Supplier_Z,Phoenix,Orlando,Sea,4899,9727.05,Clear,Moderate,Medium,2,2,0
SHP-001441,Supplier_O,San Diego,Nashville,Road,786,3632.6,Storm,Low,Low,13,20,1
SHP-001442,Supplier_J,Chicago,Denver,Rail,384,4804.78,Snow,Low,Critical,9,8,0
SHP-001443,Supplier_V,San Jose,Nashville,Rail,4911,3585.08,Rain,Low,Low,14,14,0
SHP-001444,Supplier_R,Chicago,Seattle,Road,3847,6840.99,Rain,High,High,4,2,0
SHP-001445,Supplier_F,San Jose,Miami,Road,862,6639.21,Clear,High,Medium,4,3,0
SHP-001446,Supplier_C,Houston,Atlanta,Sea,2528,7167.46,Clear,Low,Low,11,10,0
SHP-001447,Supplier_O,Los Angeles,Seattle,Rail,2607,2718.03,Clear,Low,Medium,6,6,0
SHP-001448,Supplier_L,Phoenix,Nashville,Sea,128,3190.9,Clear,Severe,Critical,8,15,1
SHP-001449,Supplier_S,Houston,Portland,Rail,1006,1296.25,Rain,Moderate,Low,5,5,0
SHP-001450,Supplier_J,Dallas,Boston,Air,3204,6572.32,Fog,High,Critical,12,17,1
SHP-001451,Supplier_U,San Antonio,Orlando,Rail,4099,445.98,Clear,Low,Medium,8,8,0
SHP-001452,Supplier_N,San Antonio,Denver,Road,3094,5996.94,Clear,Low,Low,1,1,0
SHP-001453,Supplier_W,Houston,Nashville,Rail,2606,8703.47,Rain,High,Medium,13,20,1
SHP-001454,Supplier_I,Chicago,Atlanta,Air,4765,8913.78,Storm,Moderate,Low,4,9,1
SHP-001455,Supplier_O,Chicago,Portland,Sea,3709,4517.93,Snow,Moderate,Medium,1,1,0
SHP-001456,Supplier_J,San Diego,Nashville,Sea,3653,4620.07,Storm,Moderate,Critical,3,4,1
SHP-001457,Supplier_G,New York,Boston,Road,1553,815.84,Rain,Moderate,High,11,9,0
SHP-001458,Supplier_M,Chicago,Portland,Sea,4933,6724.11,Snow,High,High,7,7,0
SHP-001459,Supplier_P,San Antonio,Detroit,Rail,3456,8221.53,Clear,Low,Medium,1,1,0
SHP-001460,Supplier_D,San Diego,Miami,Rail,615,2484.32,Clear,Low,Critical,5,4,0
SHP-001461,Supplier_H,Chicago,Atlanta,Sea,138,4241.94,Clear,High,Medium,1,3,1
SHP-001462,Supplier_M,Dallas,Atlanta,Rail,3442,8396.45,Rain,Low,Low,6,11,1
SHP-001463,Supplier_S,Dallas,Atlanta,Air,986,8777.35,Fog,Moderate,Medium,9,9,0
SHP-001464,Supplier_L,Philadelphia,Atlanta,Sea,2944,2469.64,Storm,High,Critical,3,3,0
SHP-001465,Supplier_S,San Diego,Portland,Rail,2304,5528.18,Clear,Severe,Medium,11,16,1
SHP-001466,Supplier_J,Phoenix,Las Vegas,Sea,1198,1965.31,Clear,Moderate,High,11,11,0
SHP-001467,Supplier_W,Phoenix,Seattle,Road,1923,1063.69,Clear,Moderate,Medium,14,14,0
SHP-001468,Supplier_J,Dallas,Miami,Sea,3301,9115.65,Clear,High,High,12,12,0
SHP-001469,Supplier_A,San Jose,Orlando,Rail,3255,8214.05,Rain,High,High,6,12,1
SHP-001470,Supplier_V,New York,Orlando,Sea,3193,7612.35,Fog,High,Medium,4,3,0
SHP-001471,Supplier_M,San Antonio,Orlando,Sea,3630,535.22,Fog,Moderate,Medium,6,5,0
SHP-001472,Supplier_I,Los Angeles,Portland,Rail,3878,8445.1,Rain,Low,Medium,2,2,0
SHP-001473,Supplier_A,Chicago,Boston,Road,2996,4408.54,Storm,Moderate,Medium,4,11,1
SHP-001474,Supplier_S,New York,Atlanta,Rail,3553,3456.83,Rain,High,Medium,13,15,1
SHP-001475,Supplier_V,Houston,Orlando,Sea,3611,5487.44,Clear,High,Critical,13,11,0
SHP-001476,Supplier_Y,Phoenix,Denver,Sea,1088,958.96,Rain,Low,Medium,7,5,0
SHP-001477,Supplier_X,San Diego,Nashville,Rail,4216,7578.63,Rain,Moderate,Medium,11,10,0
SHP-001478,Supplier_B,Los Angeles,Portland,Road,4126,5845.23,Snow,Moderate,Medium,6,13,1
SHP-001479,Supplier_T,San Diego,Nashville,Air,4279,1906.57,Clear,Severe,Low,9,9,0
SHP-001480,Supplier_X,Philadelphia,Boston,Air,1782,1922.91,Clear,Moderate,High,11,11,0
SHP-001481,Supplier_P,Phoenix,Orlando,Air,4765,1883.27,Clear,Moderate,High,7,7,0
SHP-001482,Supplier_J,Philadelphia,Denver,Air,4063,617.17,Fog,Low,Critical,1,1,0
SHP-001483,Supplier_Y,Philadelphia,Atlanta,Air,1033,5898.59,Clear,Moderate,Medium,6,5,0
SHP-001484,Supplier_Z,Dallas,Detroit,Air,3698,8411.46,Snow,Low,High,11,10,0
SHP-001485,Supplier_H,Dallas,Atlanta,Air,3333,224.11,Snow,High,Medium,3,9,1
SHP-001486,Supplier_T,Phoenix,Las Vegas,Road,2080,537.6,Clear,High,Medium,8,7,0
SHP-001487,Supplier_Z,Philadelphia,Denver,Air,1955,5749.06,Rain,Moderate,Medium,13,12,0
SHP-001488,Supplier_L,New York,Nashville,Road,3156,8203.98,Storm,Moderate,Critical,1,1,0
SHP-001489,Supplier_H,San Antonio,Miami,Road,892,3301.05,Clear,High,Critical,10,10,0
SHP-001490,Supplier_U,Los Angeles,Nashville,Sea,891,3528.66,Fog,Low,Low,2,1,0
SHP-001491,Supplier_G,Philadelphia,Las Vegas,Sea,1909,5983.65,Clear,Low,High,3,1,0
SHP-001492,Supplier_T,San Jose,Las Vegas,Sea,2355,2778.42,Clear,Severe,Low,14,12,0
SHP-001493,Supplier_I,Houston,Las Vegas,Road,3710,314.75,Storm,High,Critical,3,7,1
SHP-001494,Supplier_V,San Jose,Portland,Air,1707,7365.52,Storm,High,Critical,7,12,1
SHP-001495,Supplier_Y,San Jose,Atlanta,Road,1084,6275.22,Fog,Low,Low,13,12,0
SHP-001496,Supplier_X,Dallas,Las Vegas,Road,3776,5828.52,Rain,Low,Low,8,7,0
SHP-001497,Supplier_Y,Chicago,Orlando,Rail,3480,7429.76,Fog,Low,Critical,9,9,0
SHP-001498,Supplier_V,Phoenix,Las Vegas,Rail,619,6768.55,Storm,Low,Low,7,5,0
SHP-001499,Supplier_V,Philadelphia,Atlanta,Road,690,2098.53,Storm,High,Medium,8,13,1
SHP-001500,Supplier_E,Philadelphia,Seattle,Sea,1150,3557.19,Rain,Low,Critical,11,11,0
SHP-001501,Supplier_U,Dallas,Atlanta,Road,3733,1304.8,Clear,High,Critical,6,9,1
SHP-001502,Supplier_D,San Diego,Denver,Road,4544,1342.08,Fog,Low,Low,2,7,1
SHP-001503,Supplier_U,San Diego,Orlando,Air,1059,6778.15,Clear,Low,Medium,1,1,0
SHP-001504,Supplier_U,Los Angeles,Denver,Sea,792,8593.07,Rain,Severe,Medium,3,10,1
SHP-001505,Supplier_B,San Antonio,Miami,Sea,3999,9629.19,Clear,Low,Critical,9,9,0
SHP-001506,Supplier_J,San Jose,Las Vegas,Sea,4573,6302.05,Rain,Low,Low,13,12,0
SHP-001507,Supplier_Z,Phoenix,Portland,Rail,3046,1881.81,Clear,Low,Low,7,6,0
SHP-001508,Supplier_O,San Diego,Detroit,Air,626,1101.22,Clear,Low,Low,2,1,0
SHP-001509,Supplier_B,Chicago,Atlanta,Rail,3324,8137.87,Storm,Moderate,Critical,14,12,0
SHP-001510,Supplier_S,Chicago,Miami,Sea,2353,5808.63,Clear,Low,Low,1,1,0
SHP-001511,Supplier_L,Philadelphia,Denver,Rail,3444,6201.94,Rain,Moderate,Medium,2,1,0
SHP-001512,Supplier_X,San Antonio,Orlando,Road,4065,7825.55,Clear,High,Critical,3,8,1
SHP-001513,Supplier_E,San Jose,Seattle,Sea,1975,7047.61,Clear,Moderate,Low,14,13,0
SHP-001514,Supplier_C,San Jose,Denver,Air,1863,8352.86,Clear,Low,High,6,4,0
SHP-001515,Supplier_J,San Antonio,Atlanta,Sea,620,609.33,Snow,Moderate,Medium,12,18,1
SHP-001516,Supplier_K,Los Angeles,Las Vegas,Rail,1116,7487.83,Clear,Low,Medium,9,9,0
SHP-001517,Supplier_X,Los Angeles,Boston,Air,216,8515.98,Fog,Moderate,Low,8,7,0
SHP-001518,Supplier_N,Chicago,Miami,Air,2533,2897.04,Clear,Moderate,Critical,10,8,0
SHP-001519,Supplier_F,Philadelphia,Atlanta,Sea,683,6422.45,Clear,Low,Critical,9,9,0
SHP-001520,Supplier_G,Houston,Atlanta,Rail,494,3175.91,Clear,High,High,11,10,0
SHP-001521,Supplier_E,Philadelphia,Las Vegas,Rail,3888,9581.81,Clear,Severe,High,11,17,1
SHP-001522,Supplier_Z,Philadelphia,Boston,Rail,2868,382.56,Snow,High,Critical,8,9,1
SHP-001523,Supplier_R,Phoenix,Detroit,Rail,4267,5818.94,Storm,Low,Critical,7,14,1
SHP-001524,Supplier_L,Phoenix,Las Vegas,Sea,3960,1706.71,Rain,Moderate,Medium,6,5,0
SHP-001525,Supplier_Q,San Jose,Denver,Air,373,7136.59,Clear,Severe,High,8,13,1
SHP-001526,Supplier_Q,San Antonio,Nashville,Road,2113,1800.11,Clear,Low,Critical,6,10,1
SHP-001527,Supplier_I,Phoenix,Miami,Rail,4533,2392.06,Clear,High,High,2,7,1
SHP-001528,Supplier_F,San Diego,Seattle,Sea,1489,4968.99,Fog,Low,Medium,13,11,0
SHP-001529,Supplier_I,Philadelphia,Boston,Rail,3666,9152.61,Clear,Low,Medium,9,13,1
SHP-001530,Supplier_P,San Jose,Miami,Air,4802,2156.56,Snow,High,Medium,9,7,0
SHP-001531,Supplier_Z,Dallas,Las Vegas,Rail,265,1485.19,Clear,High,Medium,3,1,0
SHP-001532,Supplier_J,San Diego,Boston,Road,1667,7601.82,Clear,High,Medium,9,9,0
SHP-001533,Supplier_X,San Antonio,Las Vegas,Road,828,5031.16,Clear,Severe,Medium,2,5,1
SHP-001534,Supplier_K,Chicago,Portland,Air,2143,9122.26,Clear,Low,Medium,12,10,0
SHP-001535,Supplier_Z,Chicago,Denver,Road,4297,1508.81,Snow,Low,Low,14,18,1
SHP-001536,Supplier_D,New York,Orlando,Air,3596,6476.98,Clear,Severe,Low,3,1,0
SHP-001537,Supplier_O,Chicago,Portland,Sea,878,2367.15,Snow,Low,High,14,17,1
SHP-001538,Supplier_C,Houston,Detroit,Sea,313,1609.77,Clear,Moderate,High,6,5,0
SHP-001539,Supplier_E,Phoenix,Las Vegas,Road,3862,6850.12,Fog,Moderate,Medium,14,13,0
SHP-001540,Supplier_Y,Los Angeles,Detroit,Rail,1676,5957.16,Clear,Low,High,4,2,0
SHP-001541,Supplier_H,Houston,Orlando,Sea,2548,7560.53,Storm,Low,Medium,8,7,0
SHP-001542,Supplier_V,Chicago,Las Vegas,Air,3036,3129.15,Storm,Moderate,Medium,1,1,0
SHP-001543,Supplier_X,San Antonio,Las Vegas,Sea,3217,4507.32,Fog,High,Medium,13,11,0
SHP-001544,Supplier_V,Los Angeles,Seattle,Road,691,4084.44,Clear,High,High,6,6,0
SHP-001545,Supplier_M,Los Angeles,Atlanta,Road,2820,9841.69,Snow,Moderate,Critical,2,4,1
SHP-001546,Supplier_Z,Los Angeles,Miami,Air,813,2957.88,Clear,Moderate,Low,6,10,1
SHP-001547,Supplier_R,San Diego,Seattle,Road,1035,2983.43,Clear,Low,Critical,14,12,0
SHP-001548,Supplier_L,Dallas,Miami,Rail,4437,3577.75,Clear,Low,Medium,1,1,0
SHP-001549,Supplier_C,New York,Seattle,Air,101,5667.71,Clear,Moderate,High,2,2,0
SHP-001550,Supplier_Z,New York,Denver,Rail,2948,2560.61,Fog,Low,Medium,9,14,1
SHP-001551,Supplier_M,San Antonio,Boston,Sea,4144,9157.13,Clear,Low,High,6,4,0
SHP-001552,Supplier_A,Dallas,Seattle,Road,2049,2693.57,Rain,Moderate,Low,8,6,0
